beneficiary_name,total_donated,num_programs,ida_exemptions,ida_projects,ida_names,esd_benefits,esd_programs,ppp_loans,ppp_forgiven,ppp_jobs,combined_govt_subsidy,subsidy_per_dollar_donated
BRANCH DEVELOPMENT OSWEGO,675.0,3,1427291.0,8,Oswego County Industrial Development Agency,0.0,LDC Loan (Operation Oswego County),208050.0,210199.37,28,1637490.37,2425.9116592592595
TURBO MACHINED PRODUCTS,2530.0,3,5410.57,6,Herkimer Industrial Development Agency,466667.0,Empire Zone: HERKIMER COUNTY,1098487.42,1108328.7,96,1580406.27,624.6665098814229
AIRPORT PROPERTIES II,400.0,3,25456.0,1,Orange County Industrial Development Agency,957608.45,"Empire Zone: NEWBURGH-STEWART, ORANGE COUNTY",581421.72,586973.1,60,1570037.5499999998,3925.0938749999996
LBI SOFTWARE,127.5,3,258238.41,8,Suffolk County Industrial Development Agency,312676.0,Excelsior Jobs Admission; Excelsior Jobs Tax Credit,970700.0,980056.47,47,1550970.88,12164.477490196077
KINGSWAY MANOR,17946.0,3,350831.76,4,City of Schenectady Industrial Development Agency,239443.26,Empire Zone: SCHENECTADY,948325.0,955054.21,122,1545329.23,86.10995375013931
BRANCH COMMERCIAL DEVELOPMENT,250.0,3,1086402.8,8,Franklin County Industrial Development Agency,200290.0,Empire Zone: FRANKLIN COUNTY; LDC Loan (Franklin County Economic Development Corporation); LDC Loan (The North Country Alliance Local Development Corporation),233700.0,236152.77,30,1522845.57,6091.38228
CAMBRIDGE SECURITY SEALS,1950.0,3,106248.76,6,Rockland County Industrial Development Agency,727063.0,Excelsior Jobs Tax Credit; Regional Council Capital Fund,661862.0,665443.78,53,1498755.54,768.5925846153847
BMP AMERICA,400.0,3,7751.0,2,Orleans County Industrial Development Agency,480526.0,Empire Zone: ORLEANS COUNTY,929170.0,936913.08,72,1425190.08,3562.9752000000003
ALL SEASONINGS INGREDIENTS,3353.0,3,11698.44,1,Oneida County Industrial Development Agency,852890.0,Empire Zone: MADISON COUNTY; Regional Council Capital Fund,545693.4,549655.28,72,1414243.72,421.78458693707125
V J GAUTIERI CONSTRUCTORS,2645.0,3,108011.46,2,Genesee County Industrial Development Agency,1150000.0,Downtown Revitalization Initiative,72632.0,73137.22,8,1331148.68,503.26982230623815
SENECA BEVERAGE,96240.0,3,372572.0,4,Chemung Industrial Development Agency,0.0,Empire Zone: ELMIRA,929700.0,936956.83,67,1309528.83,13.606908042394016
STAVO INDUSTRIES,380.0,3,277795.98,8,Ulster County Industrial Development Agency,312263.0,"Empire Zone: CITY OF KINGSTON, TOWN OF ULSTER; LDC Grant (Ulster County Capital Resource Corporation)",675780.0,682149.0,59,1272207.98,3347.915736842105
PARADOX BREWERY,185.0,3,493427.73,7,Essex County Industrial Development Agency,500000.0,Excelsior Jobs Admission; Regional Council Capital Fund,248497.5,249848.81,25,1243276.54,6720.41372972973
ALAN BYER AUTO SALES,1190.0,3,217130.78,6,Syracuse Industrial Development Agency,101919.0,Empire Zone: SYRACUSE,898397.0,906839.47,76,1225889.25,1030.1590336134454
INNOVATIVE DATA PROCESSING SOLUTIONS,750.0,3,65841.96,2,Monroe Industrial Development Agency,34091.0,Excelsior Jobs Tax Credit,1090000.0,1100082.5,65,1200015.46,1600.0206133333334
RIGIDIZED METALS CORPORATION,50.0,3,52416.34,7,Erie County Industrial Development Agency,209226.95,Empire Zone: BUFFALO; Empire Zone: CITY OF BUFFALO,920917.0,926064.04,57,1187707.33,23754.1466
AIR INNOVATIONS,149.0,3,42804.0,2,Onondaga County Industrial Development Agency,468170.61,Empire Zone: ONONDAGA COUNTY,599600.0,602976.94,60,1113951.5499999998,7476.184899328858
CENTRAL BUILDING,460.0,3,687726.78,8,Auburn Industrial Development Agency,404107.84,Empire Zone: AUBURN,18500.0,18689.56,3,1110524.1800000002,2414.1830000000004
CURRAN RENEWABLE ENERGY,1500.0,3,73931.0,9,St. Lawrence County Industrial Development Agency,0.0,LDC Loan (St. Lawrence County Industrial Development Agency Local Development Corporation),1013215.0,1020031.78,78,1093962.78,729.30852
PLANK,30175.0,3,148071.45,3,Saratoga County Industrial Development Agency,268881.24,Empire Zone: SCHENECTADY,650070.0,653862.08,42,1070814.77,35.486819221209615
COMMITMENT 2000,300.0,3,122598.18,2,Erie County Industrial Development Agency,80771.41,Empire Zone: CITY OF BUFFALO,835165.0,841914.96,92,1045284.5499999999,3484.281833333333
ENECON CORPORATION,300.0,3,231571.0,5,Brookhaven Industrial Development Agency,18648.0,Empire Zone: BROOKHAVEN,751400.0,758454.81,50,1008673.81,3362.2460333333333
BAGELS BY BELL,500.0,3,481902.22,8,Nassau County Industrial Development Agency,400000.0,"Empire Zone: EAST NEW YORK, KINGS; Excelsior Jobs Admission",174998.0,88390.77,18,970292.99,1940.58598
MGS MANUFACTURING,1000.0,3,26439.37,2,Oneida County Industrial Development Agency,1388.0,Empire Zone: ROME,689750.0,694190.86,49,722018.23,722.01823
THE COOKIE FACTORY,2725.0,3,213009.77,6,Troy Industrial Development Authority,94039.0,Empire Zone: TROY,408274.2,411689.84,108,718738.6100000001,263.75728807339453
AEON NEXUS CORPORATION,16700.0,3,74162.58,8,Albany City Industrial Development Agency,0.0,Empire Zone: WARREN COUNTY,597280.0,604143.77,34,678306.35,40.61714670658682
FOUR MILE BREWING,1000.0,3,31481.52,8,Cattaraugus Industrial Development Agency,411250.0,Downtown Revitalization Initiative,182634.82,185039.1,18,627770.62,627.77062
CCMI,250.0,3,62346.65,4,Ontario County Industrial Development Agency,400000.0,Regional Council Capital Fund,150000.0,150882.46,14,613229.11,2452.91644
TRUSTWORTHY,250.0,3,340521.18,5,Clinton County Industrial Development Agency,50000.0,NYS Covid-19 Pandemic Small Business Recovery Grant Program,197381.0,199816.75,34,590337.9299999999,2361.3517199999997
