"Downloaded on",12/21/2025,"14:49:59 EST"
"Search URL",https://www.congress.gov/member/nicholas-langworthy/L000600

"Legislation Number",URL,Congress,Title,Sponsor,"Date of Introduction",Committees,"Latest Action","Latest Action Date","Number of Cosponsors","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amends Amendment","Issue Date",Section,Volume,Number,Page,"Roll Call Vote Number","Date Voted",Description,"Roll Call Result","Member Vote"
"H.R. 2231",https://www.congress.gov/bill/119th-congress/house-bill/2231,"119th Congress (2025-2026)","Motorsports Fairness and Permanency Act of 2025","Tenney, Claudia [Rep.-R-NY-24]",03/18/2025,"House - Ways and Means","Referred to the House Committee on Ways and Means.",03/18/2025,19,,,,,,,,,,,,,,,
"H.R. 2204",https://www.congress.gov/bill/119th-congress/house-bill/2204,"119th Congress (2025-2026)","To require an institution of higher education that becomes aware that a student having nonimmigrant status under subparagraph (F)(i) or (J) of section 101(a)(15) of the Immigration and Nationality Act (8 U.S.C. 1101(a)(15)) has endorsed or supported a foreign terrorist organization to notify the SEVIS, and for other purposes.","Langworthy, Nicholas A. [Rep.-R-NY-23]",03/18/2025,"House - Judiciary, Education and Workforce","Referred to the Committee on the Judiciary, and in addition to the Committee on Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",03/18/2025,7,,,,,,,,,,,,,,,
"H.R. 2203",https://www.congress.gov/bill/119th-congress/house-bill/2203,"119th Congress (2025-2026)","Innovative FEED Act of 2025","Langworthy, Nicholas A. [Rep.-R-NY-23]",03/18/2025,"House - Energy and Commerce","Referred to the House Committee on Energy and Commerce.",03/18/2025,49,,,,,,,,,,,,,,,
"H.R. 2189",https://www.congress.gov/bill/119th-congress/house-bill/2189,"119th Congress (2025-2026)","Law-Enforcement Innovate to De-Escalate Act of 2025","Fitzgerald, Scott [Rep.-R-WI-5]",03/18/2025,"House - Judiciary","Ordered to be Reported (Amended) by the Yeas and Nays: 18 - 8.",11/20/2025,92,,,,,,,,,,,,,,,
"H.R. 2160",https://www.congress.gov/bill/119th-congress/house-bill/2160,"119th Congress (2025-2026)","Maintaining and Enhancing Hydroelectricity and River Restoration Act","Smith, Adrian [Rep.-R-NE-3]",03/14/2025,"House - Ways and Means","Referred to the House Committee on Ways and Means.",03/14/2025,14,,,,,,,,,,,,,,,
"H.R. 2140",https://www.congress.gov/bill/119th-congress/house-bill/2140,"119th Congress (2025-2026)","Diesel Emissions Reduction Act of 2025","Matsui, Doris O. [Rep.-D-CA-7]",03/14/2025,"House - Energy and Commerce","Referred to the House Committee on Energy and Commerce.",03/14/2025,3,,,,,,,,,,,,,,,
"H.R. 2133",https://www.congress.gov/bill/119th-congress/house-bill/2133,"119th Congress (2025-2026)","Lakes Before Turbines Act","Langworthy, Nicholas A. [Rep.-R-NY-23]",03/14/2025,"House - Ways and Means","Referred to the House Committee on Ways and Means.",03/14/2025,0,,,,,,,,,,,,,,,
"H.R. 2111",https://www.congress.gov/bill/119th-congress/house-bill/2111,"119th Congress (2025-2026)","To amend the Federal Food, Drug, and Cosmetic Act to exempt the premium cigar industry from certain regulations.","Donalds, Byron [Rep.-R-FL-19]",03/14/2025,"House - Energy and Commerce","Referred to the House Committee on Energy and Commerce.",03/14/2025,15,,,,,,,,,,,,,,,
"H.R. 2102",https://www.congress.gov/bill/119th-congress/house-bill/2102,"119th Congress (2025-2026)","Major Richard Star Act","Bilirakis, Gus M. [Rep.-R-FL-12]",03/14/2025,"House - Armed Services, Veterans' Affairs","Referred to the Subcommittee on Disability Assistance and Memorial Affairs.",04/04/2025,313,,,,,,,,,,,,,,,
"H.R. 2048",https://www.congress.gov/bill/119th-congress/house-bill/2048,"119th Congress (2025-2026)","Metastatic Breast Cancer Access to Care Act","Garbarino, Andrew R. [Rep.-R-NY-2]",03/11/2025,"House - Ways and Means","Referred to the House Committee on Ways and Means.",03/11/2025,194,,,,,,,,,,,,,,,
