quarter,category,transaction_date,perform_start,perform_end,vendor,description,amount_usd
2024Q1,tele_town_hall,21-Mar-24,29-Feb-24,29-Feb-24,COEFFICIENT,FRANKABLE TELECOM/TELETOWNHALL,6840.00
2024Q1,advertising,22-Jan-24,19-Dec-23,9-Jan-24,CITIBANK -FACEBK  X2NG9X33J2,ADVERTISEMENTS,250.00
2024Q1,advertising,22-Jan-24,18-Dec-23,19-Dec-23,CITIBANK -FACEBK DRXSAYT3J2,ADVERTISEMENTS,12.63
2024Q1,advertising,22-Jan-24,8-Dec-23,18-Dec-23,CITIBANK -FACEBK UH8D7XP3J2,ADVERTISEMENTS,55.63
2024Q1,advertising,22-Mar-24,19-Jan-24,18-Feb-24,CITIBANK -FACEBK 6EK232L3J2,ADVERTISEMENTS,250.00
2024Q1,advertising,22-Mar-24,18-Feb-24,18-Feb-24,CITIBANK -FACEBK E2F3PZB3J2,ADVERTISEMENTS,3.52
2024Q1,advertising,22-Mar-24,18-Feb-24,19-Feb-24,CITIBANK -FACEBK SJ2X82G3J2,ADVERTISEMENTS,6.60
2024Q1,advertising,29-Jan-24,29-Aug-23,30-Sep-23,THE FRANKING GROUP,ADVERTISEMENTS,2000.00
2024Q1,advertising,31-Jan-24,9-Nov-23,8-Dec-23,THE FRANKING GROUP,ADVERTISEMENTS,10400.00
2024Q1,advertising,31-Jan-24,9-Dec-23,31-Dec-23,THE FRANKING GROUP,ADVERTISEMENTS,9756.33
2024Q1,tele_town_hall,8-Feb-24,30-Jan-24,30-Jan-24,COEFFICIENT,FRANKABLE TELECOM/TELETOWNHALL,6840.00
2024Q2,advertising,14-May-24,19-Mar-24,12-Apr-24,CITIBANK -FACEBK F5LZ83U2J2,ADVERTISEMENTS,250.00
2024Q2,advertising,14-May-24,18-Apr-24,19-Apr-24,CITIBANK -FACEBK P8BLU383J2,ADVERTISEMENTS,21.85
2024Q2,advertising,14-May-24,11-Apr-24,18-Apr-24,CITIBANK -FACEBK QJUAL3Y2J2,ADVERTISEMENTS,43.41
2024Q2,tele_town_hall,23-Apr-24,28-Mar-24,28-Mar-24,COEFFICIENT,FRANKABLE TELECOM/TELETOWNHALL,9360.00
2024Q2,advertising,23-Apr-24,27-Feb-24,26-Mar-24,THE FRANKING GROUP,ADVERTISEMENTS,5600.00
2024Q2,advertising,24-Jun-24,19-Apr-24,17-May-24,CITIBANK -FACEBK  BWVMF5L3J2,ADVERTISEMENTS,250.00
2024Q2,advertising,24-Jun-24,16-May-24,17-May-24,CITIBANK -FACEBK  JC4JP5G3J2,ADVERTISEMENTS,15.21
2024Q2,advertising,25-Apr-24,18-Mar-24,19-Mar-24,CITIBANK -FACEBK MRTRQ2C3J2,ADVERTISEMENTS,7.56
2024Q2,advertising,25-Apr-24,19-Feb-24,19-Mar-24,CITIBANK -FACEBK Y8JWA2Q3J2,ADVERTISEMENTS,250.00
2024Q2,tele_town_hall,7-May-24,17-Apr-24,17-Apr-24,COEFFICIENT,FRANKABLE TELECOM/TELETOWNHALL,13699.84
2024Q3,advertising,17-Jul-24,20-May-24,18-Jun-24,CITIBANK -FACEBK  3VGXW6G3J2,ADVERTISEMENTS,250.00
2024Q3,advertising,17-Jul-24,19-Jun-24,19-Jun-24,CITIBANK -FACEBK  9QAVE683J2,ADVERTISEMENTS,5.10
2024Q3,advertising,17-Jul-24,17-Jun-24,18-Jun-24,CITIBANK -FACEBK  M4XNJ643J2,ADVERTISEMENTS,22.06
2024Q3,tele_town_hall,23-Jul-24,27-Jun-24,27-Jun-24,COEFFICIENT,FRANKABLE TELECOM/TELETOWNHALL,2070.08
2024Q3,advertising,23-Jul-24,18-Jun-24,18-Jun-24,THE FRANKING GROUP,ADVERTISEMENTS,6900.00
2024Q3,tele_town_hall,24-Jul-24,29-Apr-24,29-Apr-24,COEFFICIENT,FRANKABLE TELECOM/TELETOWNHALL,6840.00
2024Q3,tele_town_hall,24-Jul-24,29-May-24,29-May-24,COEFFICIENT,FRANKABLE TELECOM/TELETOWNHALL,6840.00
2024Q3,tele_town_hall,24-Jul-24,27-Jun-24,27-Jun-24,COEFFICIENT,FRANKABLE TELECOM/TELETOWNHALL,6840.00
2024Q3,advertising,25-Sep-24,18-Aug-24,19-Aug-24,CITIBANK -FACEBK  6R3F79U2J2,ADVERTISEMENTS,44.42
2024Q3,advertising,25-Sep-24,17-Aug-24,18-Aug-24,CITIBANK -FACEBK  HWUUZ9L3J2,ADVERTISEMENTS,147.06
2024Q3,advertising,25-Sep-24,19-Jul-24,17-Aug-24,CITIBANK -FACEBK  Y5LPF9C3J2,ADVERTISEMENTS,250.00
